AverageDiscountedReturn,LossBefore,dLoss,LossAfter,AveragePolicyStd,Entropy,MinReturn,AbsLearnSignal,StdReturn,Iteration,ExplainedVariance,MaxReturn,MeanKLBefore,NumTrajs,AverageReturn,Perplexity,MeanKL
-116.656234754,-5.37088855401e-17,0.0227658412071,-0.0227658412071,0.97162017549,2.7744105624,-251.730363924,0.722483545453,47.0836768559,68,0.754632592105,-36.6115865972,0.0,43,-177.60375818,16.0291760114,0.00996152315274
-111.987641764,1.44791817078e-16,0.0205507297576,-0.0205507297576,0.963445228338,2.75766469402,-223.31731036,0.696111472097,36.3702696825,69,0.728871468785,-53.36730903,0.0,42,-169.318754799,15.7629885305,0.00671428043747
-119.27896821,-5.4373172631e-17,0.0232308872186,-0.0232308872186,0.962304796023,2.75360191514,-273.644555308,0.778761323513,30.1404174898,70,0.814882115645,-139.239437276,0.0,40,-183.522563432,15.6990769109,0.00962937473409
-109.900487608,3.10954581586e-17,0.0199379237827,-0.0199379237827,0.967872565414,2.76458648327,-237.176406824,0.681015948182,37.3527070839,71,0.723924064424,-45.7164740146,0.0,43,-166.529019974,15.8724750993,0.00642667156464
-111.095534043,1.83705480959e-16,0.0239107530501,-0.0239107530501,0.964350056104,2.75610836762,-232.068118341,0.720242687269,32.0934505374,72,0.766499212758,-62.44863383,0.0,42,-169.045405197,15.7384752556,0.00973562804231
-107.859986688,1.11416480569e-16,0.0232004392917,-0.0232004392917,0.970014764497,2.76900218156,-239.48420142,0.687521638957,42.449005186,73,0.7179174483,-41.0610244807,0.0,44,-163.33170265,15.9427181325,0.00977243188971
-115.126040725,-1.15574298758e-16,0.0213339296083,-0.0213339296083,0.970178954783,2.77206363438,-229.189197758,0.740469188164,26.7179696239,74,0.832694095989,-93.693253444,0.0,41,-176.375247152,15.9916007995,0.00944888642209
-114.098301551,-4.95174673798e-17,0.0202494970124,-0.0202494970124,0.958619833362,2.74834845838,-227.273209296,0.737334198535,36.6227602063,75,0.779184200483,-37.7769112743,0.0,42,-172.94308607,15.6168187482,0.00949023062655
-111.694003461,8.14206457253e-17,0.022240159901,-0.022240159901,0.966496262389,2.76569276108,-216.035549752,0.738927808583,31.297346201,76,0.750814155826,-64.0602563926,0.0,42,-169.374270543,15.8900441827,0.0090848352927
-111.771620545,-1.99541916025e-17,0.0182691412518,-0.0182691412518,0.970087944004,2.77456820989,-230.382736602,0.76959201839,34.9312772296,77,0.752291687129,-60.8662529106,0.0,42,-170.46856628,16.0317031701,0.00657659875053
-108.449828465,9.36278000331e-17,0.0207664574488,-0.0207664574488,0.971145887207,2.77805000701,-228.086107939,0.747689525343,35.9724446064,78,0.747091696444,-50.208549954,0.0,42,-165.389863531,16.0876195964,0.00640977209661
-112.66030974,5.42848371393e-17,0.0169578899135,-0.0169578899135,0.973989358425,2.78428135089,-233.829780306,0.790943853689,29.4159802331,79,0.80116286173,-119.999903616,0.0,41,-170.53384442,16.1881800743,0.00652123089676
-111.11593226,4.54043887032e-17,0.0233773380363,-0.0233773380363,0.986031060773,2.80891465785,-221.246140538,0.767712417363,34.4600962756,80,0.787641009464,-35.167441538,0.0,41,-168.709874527,16.5919005538,0.00941740698384
-110.037792607,1.96137588704e-16,0.0190880261615,-0.0190880261615,0.979864283157,2.7955696083,-223.614657913,0.731402680886,44.3567665988,81,0.702432127385,-40.8215739697,0.0,44,-166.403735277,16.3719516973,0.00855060969407
-111.508618525,-2.72661342476e-16,0.0179583858645,-0.0179583858645,0.987327553762,2.80901049643,-229.075011575,0.733796677769,37.3697147111,82,0.72828431886,-45.5686627353,0.0,42,-168.49240825,16.5934907742,0.00662493624705
-107.98631022,-1.24070087209e-16,0.0228816529636,-0.0228816529636,0.9704628907,2.77516737494,-212.722604843,0.740979926345,30.2643095938,83,0.736898516507,-77.7531532013,0.0,42,-162.33285847,16.0413116845,0.00976305767206
-111.269772447,7.83329363769e-17,0.0180795325904,-0.0180795325904,0.966425358495,2.76663921534,-227.936766938,0.707346831988,37.4656443623,84,0.775557976786,-38.8315047671,0.0,42,-169.18446851,15.9050905019,0.00671887046774
-109.167326737,-1.08105731444e-16,0.0229584012552,-0.0229584012552,0.962410302305,2.75929354012,-220.888456315,0.726368206488,38.2425081872,85,0.78237569036,-18.6323947539,0.0,42,-166.151999525,15.7886849349,0.00993777496004
-109.864990757,1.92708541987e-18,0.023638173142,-0.023638173142,0.974975449912,2.78474193694,-215.842157674,0.722417283678,28.7314885533,86,0.820414729973,-44.3373939232,0.0,41,-166.287213973,16.1956378416,0.00988185299229
-107.044575877,1.16438192808e-16,0.0185589189199,-0.0185589189199,0.967738913478,2.76853972877,-221.87935646,0.710393660306,36.5011413775,87,0.747856092453,-50.8355673235,0.0,42,-161.044466428,15.9353470824,0.00693847533035
-106.17800604,6.19363066921e-17,0.0211307724913,-0.0211307724913,0.958589667486,2.74910413339,-220.112640488,0.683361528127,35.3355234469,88,0.714294129329,-61.7029146564,0.0,43,-159.03593155,15.6286244479,0.00951858994967
-110.214208169,-7.81856767831e-17,0.018706634773,-0.018706634773,0.949785628038,2.7321387368,-244.874114151,0.744757583733,32.956819367,89,0.753483188977,-96.0748464173,0.0,42,-166.989465742,15.3657151225,0.00674065869157
-109.42334086,-8.7560828648e-17,0.0255616329089,-0.0255616329089,0.943880135845,2.71902141347,-213.295833467,0.734916138626,28.1029524825,90,0.787395270844,-51.8619942028,0.0,41,-164.682954485,15.1654742523,0.00996162628345
-111.936529843,-1.0535983914e-16,0.020922818042,-0.020922818042,0.944219204954,2.71987461774,-229.732840973,0.786810241573,22.2306651494,91,0.837587692741,-133.069821178,0.0,41,-169.791058275,15.1784190212,0.00940447759747
-103.081809112,1.69638972644e-16,0.0168006771828,-0.0168006771828,0.952800243132,2.73613494682,-223.275878691,0.748828805874,32.2796933305,92,0.770793258884,-37.9782419579,0.0,41,-155.325676848,15.4272426037,0.00654677359224
-98.906722354,7.95371357656e-17,0.024061591096,-0.024061591096,0.946519246248,2.7235950642,-230.137771728,0.673673335224,41.2697012266,93,0.666137972382,-41.2795089916,0.0,44,-148.836533619,15.2349946946,0.00974517586206
-108.899426023,-2.32112803923e-17,0.0199635911705,-0.0199635911705,0.952906320966,2.73615706616,-227.56248129,0.71661457478,30.2526122624,94,0.743645541102,-91.054124239,0.0,42,-163.105667001,15.4275838479,0.00942015143912
-110.502304604,5.2634426558e-17,0.0245049940909,-0.0245049940909,0.947433354701,2.72576237371,-224.973476664,0.733128123048,31.1867295343,95,0.765393454784,-64.2203917347,0.0,42,-165.144279709,15.2680494505,0.00994959444126
-104.372252896,6.25687028004e-17,0.0176383162363,-0.0176383162363,0.953635518994,2.73723237872,-225.413262013,0.682861721566,37.4545524829,96,0.721129708166,-44.6219199663,0.0,43,-156.577666489,15.4441822452,0.00666259366234
-108.574420649,2.48150373598e-16,0.0187590729333,-0.0187590729333,0.946954401759,2.72271954228,-233.075973772,0.714484380505,32.0264465442,97,0.747649572312,-55.9108053067,0.0,41,-162.216928376,15.2216619603,0.0064629594572
-106.616427714,3.22242232897e-17,0.0210833238276,-0.0210833238276,0.944525586074,2.71573863933,-210.708431683,0.799782276536,22.0097752769,98,0.8377384723,-126.058201634,0.0,40,-161.808266201,15.1157710524,0.00988053284163
-110.664801583,3.23701277839e-16,0.0182599150351,-0.0182599150351,0.926137843246,2.67316530536,-257.313623852,0.719282572041,28.6405758858,99,0.774524819428,-107.62183192,0.0,41,-167.159432134,14.4857485192,0.00641657160453
-105.013991102,1.16774986652e-16,0.0235783819759,-0.0235783819759,0.925402277924,2.67144378475,-264.399924481,0.677306887841,39.3918266515,100,0.700979917669,-39.7628222404,0.0,43,-154.609530336,14.4608324575,0.00994001223939
