AveragePolicySurr,AverageQ,PolicyRegParamNorm,AverageReturn,AverageAbsY,StdReturn,AverageEsReturn,MinEsReturn,MaxReturn,AverageAction,MaxEsReturn,AverageDiscountedReturn,AverageAbsQ,Epoch,AverageY,MinReturn,AverageAbsQYDiff,QFunRegParamNorm,AverageQLoss,StdEsReturn
0.3040310143,-0.310258746,10.5027611138,-113.856959956,0.3102986923,25.7344547786,-119.707599893,-164.981744555,-21.1637059821,0.285699732,-54.2376197461,-76.0289916353,0.310258746,41,-0.3102986923,-152.139826489,0.0143937407,13.4071772789,0.000511341,28.6409590525
0.3098626424,-0.3158073455,10.5481868454,-106.125404107,0.3158158876,21.3742708011,-142.54697015,-187.025569559,-26.1329118167,0.2798983313,-119.866614623,-72.0144891189,0.3158073455,42,-0.3158158876,-165.017335831,0.0138537893,13.4863009992,0.0004496102,18.0740612075
0.3137053396,-0.3198919388,10.5872558093,-105.477749654,0.3199198596,22.000575798,-110.414306477,-154.375694648,-27.161073878,0.2487662315,-23.2187795353,-71.2130616176,0.3198919388,43,-0.3199198596,-146.598799541,0.0141689829,13.5668383745,0.0004833201,35.67077594
0.3190031392,-0.3246927726,10.6158695528,-107.367934217,0.3246963379,29.0716970536,-119.875624028,-140.147771872,-12.6897703196,0.2564837292,-102.918239769,-73.3466310327,0.3246927726,44,-0.3246963379,-172.556623719,0.0142802343,13.6425704443,0.0004771547,13.6495767636
0.3206197618,-0.3268662703,10.6560661665,-106.001321216,0.3269149761,17.9629437535,-109.539126694,-139.163138153,-40.9948885881,0.2804103543,-59.086902877,-73.1381722038,0.3268662703,45,-0.3269149761,-145.369334861,0.0140476569,13.7064863486,0.0004856983,24.6952944932
0.3240778315,-0.3305539462,10.6907362436,-110.611922602,0.3305855455,23.7464103807,-126.786666706,-162.454507952,-18.1484952171,0.2989561284,-97.755602315,-75.0833667164,0.3305539462,46,-0.3305855455,-158.439364066,0.0143418441,13.7871523467,0.0005129835,20.7394005083
0.3292984213,-0.3352279225,10.7217820829,-108.229109871,0.3352409668,23.7354222299,-109.282432208,-132.698800832,-29.6879097472,0.3105564985,-84.9340773335,-73.1519797981,0.3352279225,47,-0.3352409668,-163.957140957,0.0141500012,13.8270367492,0.000476299,14.2161239988
0.3325473619,-0.33810395,10.7543087292,-106.714516321,0.3381361659,21.660236556,-102.813084081,-154.520848629,-18.2041266451,0.2784297979,-22.8670773466,-73.0171096023,0.33810395,48,-0.3381361659,-149.691833497,0.0139350198,13.8758196358,0.0005020728,41.4843745696
0.3357723882,-0.3415999067,10.779144886,-106.599282651,0.3416206857,24.772926639,-120.148253811,-150.880986439,-22.8715086778,0.2681553612,-102.224783067,-73.8627512867,0.3415999067,49,-0.3416206857,-175.274498562,0.0139525914,13.9239924632,0.0004832532,18.0683638848
0.3414388739,-0.3469560161,10.7930850558,-106.468788794,0.346963267,23.3232413642,-112.991884189,-156.805866919,-22.4383724817,0.2474384402,-70.6740611147,-72.8240279335,0.3469560161,50,-0.346963267,-159.031409423,0.0137558669,13.9846117356,0.0004884537,22.0027578456
0.3443737797,-0.3499040508,10.8248700902,-102.52754367,0.3499042944,17.9143712218,-120.904542168,-148.452627424,-17.3791865946,0.2324584756,-86.9951249383,-70.8054836963,0.3499040508,51,-0.3499042944,-140.072911032,0.0139981002,14.0294794527,0.0005296563,19.3276490943
0.3497705409,-0.3550674106,10.8336099936,-103.851520371,0.3551543701,20.0521703351,-106.782841792,-141.48321961,-16.4165632579,0.2558257374,-65.9545567128,-71.4513510127,0.3550674106,52,-0.3551543701,-162.701247036,0.0137677519,14.083682983,0.0005060395,23.4798439423
0.3525832852,-0.3582129566,10.8542647525,-105.162374788,0.3582143529,15.9266934226,-107.366733555,-137.980464177,-80.1393722266,0.2732879147,-64.5961817344,-72.9808768857,0.3582129566,53,-0.3582143529,-161.117995894,0.0139700209,14.1700586726,0.0005201111,24.086376695
0.3540295923,-0.360050572,10.8806625487,-101.277506096,0.3600619489,16.5810724937,-105.496794749,-145.194086455,-14.9894903029,0.2920839943,-63.294353306,-69.1472289478,0.360050572,54,-0.3600619489,-136.343068525,0.0140715659,14.2192808671,0.0005352388,20.1987318552
0.358561229,-0.3638377325,10.8908863033,-101.005870617,0.3638579702,20.6446001959,-112.991144506,-166.192429578,-11.4007980645,0.3555067461,-62.9897492963,-70.5131371003,0.3638377325,55,-0.3638579702,-149.77700521,0.0137998883,14.2727272834,0.0005226349,28.0328528034
0.3622562844,-0.3676078829,10.9052293737,-100.409516926,0.3676612155,24.9958857861,-95.6630602382,-126.537476347,-11.785618848,0.368405405,-71.6830132438,-70.273694779,0.3676078829,56,-0.3676612155,-160.305217602,0.0138260112,14.320918148,0.000517673,13.3330499522
